Project,LLM,Mode,Model_Type,Model_Complexity,Pipeline_Structure,Preprocessing_Level,Feature_Engineering,Hyperparameter_Tuning,Code_Length_Class,Dependency_Level,Use_of_Pipeline_API,Error_Handling,Determinism,Optimization_Strategy,Notes
Air-Quality-Health-Prediction,chatgpt,original,Random Forest,moderate,complex,advanced,advanced,none,long,moderate,no,none,yes,no clear optimisation,
Air-Quality-Health-Prediction,codex,assisted,Random Forest,moderate,standard,basic,none,basic,medium,moderate,no,basic,yes,efficient data handling,Adds robust input fallback logic; Trims unused analysis or plotting code
Air-Quality-Health-Prediction,gemini,assisted,Random Forest,moderate,standard,basic,none,none,medium,moderate,no,basic,yes,efficient data handling,Adds robust input fallback logic; Trims unused analysis or plotting code
Air-Quality-Health-Prediction,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Air-Quality-Health-Prediction,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Algorithms_KnnClasifier,chatgpt,original,K-Nearest Neighbours,simple,minimal,none,none,none,short,moderate,no,none,no,no clear optimisation,Manual KNN implementation with normalization and distance computation and CSV output; straightforward classification pipeline without pipeline abstraction
Algorithms_KnnClasifier,codex,assisted,K-Nearest Neighbours,simple,minimal,none,none,none,medium,moderate,no,none,yes,fewer steps,Trims unused analysis or plotting code
Algorithms_KnnClasifier,gemini,assisted,K-Nearest Neighbours,simple,minimal,none,none,none,short,moderate,no,basic,no,fewer steps,Adds robust input fallback logic; Trims unused analysis or plotting code
Algorithms_KnnClasifier,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Algorithms_KnnClasifier,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
animals-classification,chatgpt,original,Support Vector Machine,moderate,minimal,none,none,none,short,heavy,no,none,yes,no clear optimisation,Includes plotting or heavyweight dependencies
animals-classification,codex,assisted,Support Vector Machine,moderate,minimal,none,none,none,short,moderate,no,none,yes,fewer steps,Retains the original Support Vector Machine workflow; Trims unused analysis or plotting code
animals-classification,gemini,assisted,Support Vector Machine,moderate,minimal,none,none,none,short,moderate,no,basic,yes,fewer steps,Retains the original Support Vector Machine workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
animals-classification,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from Support Vector Machine to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
animals-classification,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,efficient data handling,Switches from Support Vector Machine to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
Annotated_Colab_Notebook,chatgpt,original,Random Forest,moderate,standard,basic,none,none,short,moderate,no,none,yes,no clear optimisation,
Annotated_Colab_Notebook,codex,assisted,Random Forest,moderate,standard,basic,none,none,short,moderate,no,basic,yes,fewer steps,Retains the original Random Forest workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
Annotated_Colab_Notebook,gemini,assisted,Random Forest,moderate,standard,basic,none,none,short,moderate,no,basic,yes,efficient data handling,Retains the original Random Forest workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
Annotated_Colab_Notebook,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,simpler model,Switches from Random Forest to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Annotated_Colab_Notebook,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from Random Forest to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
BREAST-CANCER-PREDICTION-SYSTEM,chatgpt,original,Logistic Regression,simple,standard,basic,none,none,short,heavy,no,none,yes,no clear optimisation,Includes plotting or heavyweight dependencies
BREAST-CANCER-PREDICTION-SYSTEM,codex,assisted,Logistic Regression,simple,standard,basic,none,none,medium,moderate,no,none,yes,efficient data handling,Trims unused analysis or plotting code
BREAST-CANCER-PREDICTION-SYSTEM,gemini,assisted,Logistic Regression,simple,minimal,none,none,none,short,moderate,no,basic,yes,efficient data handling,Adds robust input fallback logic; Trims unused analysis or plotting code
BREAST-CANCER-PREDICTION-SYSTEM,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,efficient data handling,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
BREAST-CANCER-PREDICTION-SYSTEM,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,efficient data handling,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
breastcancer_classification,chatgpt,original,LogisticRegression,Simple,Standard,Basic,None,Basic,Medium,Moderate,No,None,No,No clear optimisation,
breastcancer_classification,codex,assisted,LogisticRegression,Simple,Standard,Basic,None,Basic,Long,Moderate,No,None,Yes,Efficient data handling,"Refactored manual logistic regression with vectorized updates, robust CSV loading, reduced overhead, and removed non-essential computation while preserving the original modeling approach"
breastcancer_classification,gemini,assisted,LogisticRegression,Simple,Standard,Basic,None,Basic,Medium,Moderate,No,Basic,Yes,Efficient data handling,"Vectorized logistic regression with simplified pipeline, robust CSV loading fallback, clipped sigmoid for stability, and removal of unnecessary computations and overhead"
breastcancer_classification,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
cancer_prediction,chatgpt,original,Logistic Regression,simple,standard,basic,none,none,short,moderate,no,none,yes,no clear optimisation,
cancer_prediction,codex,assisted,Logistic Regression,simple,complex,basic,none,none,medium,moderate,yes,basic,yes,fewer steps,Retains the original Logistic Regression workflow; Adds a structured sklearn pipeline; Adds robust input fallback logic
cancer_prediction,gemini,assisted,Logistic Regression,simple,standard,basic,none,none,short,moderate,no,basic,yes,efficient data handling,Retains the original Logistic Regression workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
cancer_prediction,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
cancer_prediction,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
cars-classification,chatgpt,original,Support Vector Machine,moderate,standard,basic,none,none,short,heavy,no,none,yes,no clear optimisation,Includes plotting or heavyweight dependencies
cars-classification,codex,assisted,Support Vector Machine,moderate,standard,basic,none,none,short,moderate,no,none,yes,fewer steps,Retains the original Support Vector Machine workflow; Trims unused analysis or plotting code
cars-classification,gemini,assisted,Support Vector Machine,moderate,standard,basic,none,none,short,moderate,no,basic,yes,fewer steps,Retains the original Support Vector Machine workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
cars-classification,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from Support Vector Machine to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
cars-classification,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,efficient data handling,Switches from Support Vector Machine to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
Classification-with-xgboost-on-binary.csv-data,chatgpt,original,XGBoost,high,standard,basic,none,none,short,heavy,no,none,yes,no clear optimisation,Includes plotting or heavyweight dependencies
Classification-with-xgboost-on-binary.csv-data,codex,assisted,XGBoost,high,standard,basic,none,none,medium,heavy,no,basic,yes,fewer steps,Retains the original XGBoost workflow; Adds robust input fallback logic
Classification-with-xgboost-on-binary.csv-data,gemini,assisted,XGBoost,high,standard,basic,none,none,short,heavy,no,basic,yes,fewer steps,Retains the original XGBoost workflow; Adds robust input fallback logic
Classification-with-xgboost-on-binary.csv-data,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,simpler model,Switches from XGBoost to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Classification-with-xgboost-on-binary.csv-data,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Switches from XGBoost to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
CodeAlpha_IrisClassification,chatgpt,original,Random Forest,moderate,standard,basic,none,basic,short,heavy,no,basic,yes,no clear optimisation,Trains additional models beyond the reported score; Includes plotting or heavyweight dependencies
CodeAlpha_IrisClassification,codex,assisted,Random Forest,moderate,standard,basic,none,basic,medium,moderate,no,basic,yes,efficient data handling,Retains the original Random Forest workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
CodeAlpha_IrisClassification,gemini,assisted,Random Forest,moderate,minimal,none,none,basic,short,moderate,no,basic,yes,fewer steps,Retains the original Random Forest workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
CodeAlpha_IrisClassification,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,efficient data handling,Switches from Random Forest to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
CodeAlpha_IrisClassification,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Switches from Random Forest to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
CT_Project,chatgpt,original,Logistic Regression,simple,standard,none,basic,none,short,moderate,no,none,yes,no clear optimisation,
CT_Project,codex,assisted,Logistic Regression,simple,standard,none,basic,none,short,moderate,no,basic,yes,fewer steps,Retains the original Logistic Regression workflow; Adds robust input fallback logic; Uses text vectorization or combined text features
CT_Project,gemini,assisted,Logistic Regression,simple,standard,none,basic,none,short,moderate,no,basic,yes,fewer steps,Retains the original Logistic Regression workflow; Adds robust input fallback logic; Uses text vectorization or combined text features
CT_Project,codex,autonomous,Logistic Regression,simple,complex,advanced,basic,none,long,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses text vectorization or combined text features
CT_Project,gemini,autonomous,Logistic Regression,simple,complex,basic,basic,none,medium,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses text vectorization or combined text features
Cuisine_Prediction,chatgpt,original,Multinomial Naive Bayes,Moderate,Custom,Moderate,none,None,Long,Moderate,No,None,No,None,"Custom implementation of multinomial Naive Bayes with manual vocabulary construction, global state usage, and file-based I/O; includes preprocessing with unidecode and stores results externally"
Cuisine_prediction,codex,assisted,Multinomial Naive Bayes,Moderate,Standard,Moderate,None,None,Long,Moderate,No,Basic,Yes,Efficient data handling,"Refactored multinomial Naive Bayes with single-pass counting, cached ingredient normalization, count-based corpus storage instead of document ID lists, schema inference, and safer file loading"
Cuisine-Predictor,gemini,assisted,Multinomial Naive Bayes,Moderate,minimal,none,none,none,medium,moderate,no,none,no,fewer steps,Trims unused analysis or plotting code
Cuisine-Predictor,codex,autonomous,Logistic Regression,simple,complex,advanced,basic,none,long,moderate,yes,structured,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses text vectorization or combined text features
Cuisine-Predictor,gemini,autonomous,Multinomial Naive Bayes,simple,complex,basic,basic,none,medium,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses text vectorization or combined text features
Decision-Trees,chatgpt,original,Decision Tree,Moderate,Complex,Basic,none,none,long,minimal,no,basic,no,no clear optimisation,
Decision-Trees,codex,assisted,Decision Tree,Moderate,Complex,Basic,none,none,long,moderate,no,none,no,fewer steps,Trims unused analysis or plotting code
Decision-Trees,gemini,assisted,Decision Tree,Moderate,Complex,Basic,none,none,long,moderate,no,basic,yes,fewer steps,Adds robust input fallback logic; Trims unused analysis or plotting code
Decision-Trees,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Decision-Trees,gemini,autonomous,Deep Neural Network,high,complex,advanced,none,basic,medium,moderate,yes,structured,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
DecisionTreeClassifier,chatgpt,original,Decision Tree,moderate,minimal,none,none,none,short,moderate,no,none,no,no clear optimisation,
DecisionTreeClassifier,codex,assisted,Decision Tree,moderate,minimal,none,none,none,short,moderate,no,none,yes,simpler model,Retains the original Decision Tree workflow; Trims unused analysis or plotting code
DecisionTreeClassifier,gemini,assisted,Decision Tree,moderate,minimal,none,none,none,short,moderate,no,basic,yes,fewer steps,Retains the original Decision Tree workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
DecisionTreeClassifier,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Switches from Decision Tree to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
DecisionTreeClassifier,gemini,autonomous,Decision Tree,moderate,complex,advanced,none,basic,medium,moderate,yes,basic,yes,fewer steps,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Deep-Learning-Classification,chatgpt,original,Deep Neural Network,high,standard,advanced,none,none,short,heavy,no,none,yes,no clear optimisation,Includes plotting or heavyweight dependencies
Deep-Learning-Classification,codex,assisted,Deep Neural Network,high,standard,advanced,none,none,medium,heavy,no,none,yes,fewer steps,Retains the original Deep Neural Network workflow
Deep-Learning-Classification,gemini,assisted,Deep Neural Network,high,standard,basic,none,none,short,heavy,no,basic,yes,fewer steps,Retains the original Deep Neural Network workflow; Adds robust input fallback logic
Deep-Learning-Classification,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from Deep Neural Network to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Deep-Learning-Classification,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Switches from Deep Neural Network to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,chatgpt,original,Deep Neural Network,high,standard,basic,advanced,none,medium,heavy,no,none,yes,no clear optimisation,Includes plotting or heavyweight dependencies
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,codex,assisted,Deep Neural Network,high,standard,basic,advanced,none,medium,heavy,no,structured,yes,efficient data handling,Retains the original Deep Neural Network workflow; Adds robust input fallback logic
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,gemini,assisted,Deep Neural Network,high,standard,basic,advanced,none,medium,heavy,no,basic,yes,fewer steps,Retains the original Deep Neural Network workflow; Adds robust input fallback logic
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,simpler model,Switches from Deep Neural Network to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Deep-learning-classification-based-model-for-screening-compounds-with-hERG-inhibitory-activity,gemini,autonomous,LogisticRegression,Simple,Standard,Basic,None,None,Long,Moderate,Yes,Basic,Yes,Simpler model,"Autonomous solution replaces the original deep-learning setting with a lightweight sklearn pipeline using imputation, scaling, one-hot encoding, and single-threaded logistic regression with robust CSV parsing and fallback task inference"
Diabetes-Classification-with-SVM,chatgpt,original,Support Vector Machine,moderate,standard,basic,none,advanced,short,heavy,no,none,yes,no clear optimisation,Includes plotting or heavyweight dependencies
Diabetes-Classification-with-SVM,codex,assisted,Support Vector Machine,moderate,standard,basic,none,advanced,medium,heavy,no,none,yes,fewer steps,Retains the original Support Vector Machine workflow; Includes explicit search or multi-model selection
Diabetes-Classification-with-SVM,gemini,assisted,Support Vector Machine,moderate,standard,basic,none,advanced,short,heavy,no,basic,yes,fewer steps,Retains the original Support Vector Machine workflow; Adds robust input fallback logic; Includes explicit search or multi-model selection
Diabetes-Classification-with-SVM,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from Support Vector Machine to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
Diabetes-Classification-with-SVM,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Switches from Support Vector Machine to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
diabetes_predictive_analysis,chatgpt,original,K-Nearest Neighbours,simple,standard,basic,none,advanced,short,heavy,no,none,yes,no clear optimisation,Includes plotting or heavyweight dependencies
diabetes_predictive_analysis,codex,assisted,K-Nearest Neighbours,simple,standard,basic,none,basic,medium,moderate,no,none,yes,fewer steps,Retains the original K-Nearest Neighbours workflow; Trims unused analysis or plotting code
diabetes_predictive_analysis,gemini,assisted,K-Nearest Neighbours,simple,minimal,none,none,advanced,short,moderate,no,basic,yes,efficient data handling,Retains the original K-Nearest Neighbours workflow; Adds robust input fallback logic; Includes explicit search or multi-model selection
diabetes_predictive_analysis,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,structured,yes,simpler model,Switches from K-Nearest Neighbours to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
diabetes_predictive_analysis,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Switches from K-Nearest Neighbours to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
dyslexia-randomforest,chatgpt,original,Random Forest,moderate,minimal,none,none,basic,short,moderate,no,none,no,no clear optimisation,
dyslexia-randomforest,codex,assisted,Random Forest,moderate,minimal,none,none,basic,long,moderate,no,none,yes,efficient data handling,Retains the original Random Forest workflow; Trims unused analysis or plotting code
dyslexia-randomforest,gemini,assisted,Random Forest,moderate,standard,basic,none,basic,short,moderate,no,basic,yes,fewer steps,Retains the original Random Forest workflow; Adds robust input fallback logic; Trims unused analysis or plotting code
dyslexia-randomforest,codex,autonomous,Logistic Regression,simple,complex,advanced,none,none,long,moderate,yes,structured,yes,simpler model,Switches from Random Forest to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses a schema-robust generic pipeline
dyslexia-randomforest,gemini,autonomous,Logistic Regression,simple,complex,advanced,none,none,medium,moderate,yes,basic,yes,simpler model,Switches from Random Forest to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic
Email-spam-detector,chatgpt,original,Multinomial Naive Bayes,simple,standard,none,basic,none,short,moderate,no,basic,yes,no clear optimisation,
Email-spam-detector,codex,assisted,Multinomial Naive Bayes,simple,standard,none,basic,none,medium,moderate,no,basic,yes,fewer steps,Retains the original Multinomial Naive Bayes workflow; Adds robust input fallback logic; Uses text vectorization or combined text features
Email-spam-detector,gemini,assisted,Multinomial Naive Bayes,simple,standard,none,basic,none,medium,moderate,no,basic,yes,fewer steps,Retains the original Multinomial Naive Bayes workflow; Adds robust input fallback logic; Uses text vectorization or combined text features
Email-spam-detector,codex,autonomous,Logistic Regression,simple,complex,advanced,basic,none,long,moderate,yes,basic,yes,simpler model,Switches from Multinomial Naive Bayes to Logistic Regression; Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses text vectorization or combined text features
Email-spam-detector,gemini,autonomous,Multinomial Naive Bayes,simple,complex,basic,basic,none,medium,moderate,yes,basic,yes,simpler model,Adds a structured sklearn pipeline; Adds robust input fallback logic; Uses text vectorization or combined text features
FakeNewsPrediction,chatgpt,original,Logistic Regression,simple,standard,none,basic,none,short,moderate,no,none,no,no clear optimisation,
