comparison,project,llm,generated_relative_path,original_relative_path,generated_size_bytes,original_size_bytes,delta_size_bytes
original_vs_assisted,Air-Quality-Health-Prediction,chatgpt,Air-Quality-Health-Prediction/GENAIGREENML_assisted_chatgpt.py,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,4879,914,3965
original_vs_assisted,Air-Quality-Health-Prediction,claude,Air-Quality-Health-Prediction/GENAIGREENML_assisted_claude.py,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,2796,914,1882
original_vs_assisted,Air-Quality-Health-Prediction,codex,Air-Quality-Health-Prediction/GENAIGREENML_assisted_codex.py,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,4537,914,3623
original_vs_assisted,Air-Quality-Health-Prediction,gemini,Air-Quality-Health-Prediction/GENAIGREENML_assisted_gemini.py,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,3543,914,2629
original_vs_autonomous,Air-Quality-Health-Prediction,chatgpt,Air-Quality-Health-Prediction/GENAIGREENML_autonomous_chatgpt.py,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,14927,914,14013
original_vs_autonomous,Air-Quality-Health-Prediction,codex,Air-Quality-Health-Prediction/GENAIGREENML_autonomous_codex.py,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,6827,914,5913
original_vs_autonomous,Air-Quality-Health-Prediction,gemini,Air-Quality-Health-Prediction/GENAIGREENML_autonomous_gemini.py,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,5269,914,4355
original_vs_assisted,Algorithms_KnnClasifier,chatgpt,Algorithms_KnnClasifier/GENAIGREENML_assisted_chatgpt.py,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,3425,2348,1077
original_vs_assisted,Algorithms_KnnClasifier,claude,Algorithms_KnnClasifier/GENAIGREENML_assisted_claude.py,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,3054,2348,706
original_vs_assisted,Algorithms_KnnClasifier,codex,Algorithms_KnnClasifier/GENAIGREENML_assisted_codex.py,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,4746,2348,2398
original_vs_assisted,Algorithms_KnnClasifier,gemini,Algorithms_KnnClasifier/GENAIGREENML_assisted_gemini.py,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,2659,2348,311
original_vs_autonomous,Algorithms_KnnClasifier,chatgpt,Algorithms_KnnClasifier/GENAIGREENML_autonomous_chatgpt.py,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,10492,2348,8144
original_vs_autonomous,Algorithms_KnnClasifier,claude,Algorithms_KnnClasifier/GENAIGREENML_autonomous_claude.py,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,3093,2348,745
original_vs_autonomous,Algorithms_KnnClasifier,codex,Algorithms_KnnClasifier/GENAIGREENML_autonomous_codex.py,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,6511,2348,4163
original_vs_autonomous,Algorithms_KnnClasifier,gemini,Algorithms_KnnClasifier/GENAIGREENML_autonomous_gemini.py,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,4451,2348,2103
original_vs_assisted,Annotated_Colab_Notebook,chatgpt,Annotated_Colab_Notebook/GENAIGREENML_assisted_chatgpt.py,Annotated_Colab_Notebook/GENAIGREENML_original_telemetry_chatgpt.py,2509,860,1649
original_vs_assisted,Annotated_Colab_Notebook,claude,Annotated_Colab_Notebook/GENAIGREENML_assisted_claude.py,Annotated_Colab_Notebook/GENAIGREENML_original_telemetry_chatgpt.py,2170,860,1310
original_vs_assisted,Annotated_Colab_Notebook,codex,Annotated_Colab_Notebook/GENAIGREENML_assisted_codex.py,Annotated_Colab_Notebook/GENAIGREENML_original_telemetry_chatgpt.py,1887,860,1027
original_vs_assisted,Annotated_Colab_Notebook,gemini,Annotated_Colab_Notebook/GENAIGREENML_assisted_gemini.py,Annotated_Colab_Notebook/GENAIGREENML_original_telemetry_chatgpt.py,2061,860,1201
original_vs_autonomous,Annotated_Colab_Notebook,chatgpt,Annotated_Colab_Notebook/GENAIGREENML_autonomous_chatgpt.py,Annotated_Colab_Notebook/GENAIGREENML_original_telemetry_chatgpt.py,13683,860,12823
original_vs_autonomous,Annotated_Colab_Notebook,codex,Annotated_Colab_Notebook/GENAIGREENML_autonomous_codex.py,Annotated_Colab_Notebook/GENAIGREENML_original_telemetry_chatgpt.py,7722,860,6862
original_vs_autonomous,Annotated_Colab_Notebook,gemini,Annotated_Colab_Notebook/GENAIGREENML_autonomous_gemini.py,Annotated_Colab_Notebook/GENAIGREENML_original_telemetry_chatgpt.py,5014,860,4154
original_vs_assisted,BREAST-CANCER-PREDICTION-SYSTEM,chatgpt,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_assisted_chatgpt.py,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,4575,2242,2333
original_vs_assisted,BREAST-CANCER-PREDICTION-SYSTEM,claude,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_assisted_claude.py,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,2189,2242,-53
original_vs_assisted,BREAST-CANCER-PREDICTION-SYSTEM,codex,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_assisted_codex.py,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,4495,2242,2253
original_vs_assisted,BREAST-CANCER-PREDICTION-SYSTEM,gemini,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_assisted_gemini.py,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,2238,2242,-4
original_vs_autonomous,BREAST-CANCER-PREDICTION-SYSTEM,chatgpt,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_autonomous_chatgpt.py,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,11504,2242,9262
original_vs_autonomous,BREAST-CANCER-PREDICTION-SYSTEM,claude,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_autonomous_claude.py,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,3257,2242,1015
original_vs_autonomous,BREAST-CANCER-PREDICTION-SYSTEM,codex,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_autonomous_codex.py,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_original_telemetry_chatgpt.py,6663,2242,4421
