project,relative_path,mode,llm,size_bytes,size_kb
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,4879,4.765
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_assisted_claude.py,assisted,claude,2796,2.730
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_assisted_codex.py,assisted,codex,4537,4.431
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_assisted_gemini.py,assisted,gemini,3543,3.460
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,14927,14.577
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_autonomous_codex.py,autonomous,codex,6827,6.667
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,5269,5.146
Air-Quality-Health-Prediction,Air-Quality-Health-Prediction/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,914,0.893
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,3425,3.345
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_assisted_claude.py,assisted,claude,3054,2.982
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_assisted_codex.py,assisted,codex,4746,4.635
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_assisted_gemini.py,assisted,gemini,2659,2.597
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,10492,10.246
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_autonomous_claude.py,autonomous,claude,3093,3.021
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_autonomous_codex.py,autonomous,codex,6511,6.358
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,4451,4.347
Algorithms_KnnClasifier,Algorithms_KnnClasifier/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,2348,2.293
Annotated_Colab_Notebook,Annotated_Colab_Notebook/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,2509,2.450
Annotated_Colab_Notebook,Annotated_Colab_Notebook/GENAIGREENML_assisted_claude.py,assisted,claude,2170,2.119
Annotated_Colab_Notebook,Annotated_Colab_Notebook/GENAIGREENML_assisted_codex.py,assisted,codex,1887,1.843
Annotated_Colab_Notebook,Annotated_Colab_Notebook/GENAIGREENML_assisted_gemini.py,assisted,gemini,2061,2.013
Annotated_Colab_Notebook,Annotated_Colab_Notebook/GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,13683,13.362
Annotated_Colab_Notebook,Annotated_Colab_Notebook/GENAIGREENML_autonomous_codex.py,autonomous,codex,7722,7.541
Annotated_Colab_Notebook,Annotated_Colab_Notebook/GENAIGREENML_autonomous_gemini.py,autonomous,gemini,5014,4.896
Annotated_Colab_Notebook,Annotated_Colab_Notebook/GENAIGREENML_original_telemetry_chatgpt.py,original,chatgpt,860,0.840
BREAST-CANCER-PREDICTION-SYSTEM,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,4575,4.468
BREAST-CANCER-PREDICTION-SYSTEM,BREAST-CANCER-PREDICTION-SYSTEM/GENAIGREENML_assisted_claude.py,assisted,claude,2189,2.138
